dataset,check,value,status
1788499980509-304c1255-08_investor_transactions.csv,rows,32778,PASS
1788499980509-304c1255-08_investor_transactions.csv,duplicates,0,PASS
1788499980509-304c1255-08_investor_transactions.csv,missing_cells,0,INFO
1788499982117-e3d6ab98-09_portfolio_holdings.csv,rows,322,PASS
1788499982117-e3d6ab98-09_portfolio_holdings.csv,duplicates,0,PASS
1788499982117-e3d6ab98-09_portfolio_holdings.csv,missing_cells,0,INFO
1788499982615-f9647ab2-10_benchmark_indices.csv,rows,8050,PASS
1788499982615-f9647ab2-10_benchmark_indices.csv,duplicates,0,PASS
1788499982615-f9647ab2-10_benchmark_indices.csv,missing_cells,0,INFO
1788499983024-b042c300-01_fund_master.csv,rows,40,PASS
1788499983024-b042c300-01_fund_master.csv,duplicates,0,PASS
1788499983024-b042c300-01_fund_master.csv,missing_cells,0,INFO
1788499983331-4389156d-02_nav_history.csv,rows,46000,PASS
1788499983331-4389156d-02_nav_history.csv,duplicates,0,PASS
1788499983331-4389156d-02_nav_history.csv,missing_cells,0,INFO
1788499984134-b0cbf625-03_aum_by_fund_house.csv,rows,90,PASS
1788499984134-b0cbf625-03_aum_by_fund_house.csv,duplicates,0,PASS
1788499984134-b0cbf625-03_aum_by_fund_house.csv,missing_cells,0,INFO
1788499984405-d702a6c6-04_monthly_sip_inflows.csv,rows,48,PASS
1788499984405-d702a6c6-04_monthly_sip_inflows.csv,duplicates,0,PASS
1788499984405-d702a6c6-04_monthly_sip_inflows.csv,missing_cells,12,INFO
1788499985036-da4a0c4a-06_industry_folio_count.csv,rows,21,PASS
1788499985036-da4a0c4a-06_industry_folio_count.csv,duplicates,0,PASS
1788499985036-da4a0c4a-06_industry_folio_count.csv,missing_cells,0,INFO
1788499985420-bb134abf-07_scheme_performance.csv,rows,40,PASS
1788499985420-bb134abf-07_scheme_performance.csv,duplicates,0,PASS
1788499985420-bb134abf-07_scheme_performance.csv,missing_cells,0,INFO
